puuid,region,rank
piCTukK5oniw_kw6JXIzikJqdj92_h_sSqnOWAixE15fHe7C5_1MYXVuojsfOIRamBXPGFKo91W6Bw,na1,CHALLENGER
_wMwalwq0l7A98UgVOFawNMaA7HccSO2QA4NHWQH8V0fLgZ4LWU8LTPKe8SBGkjx5tfaA8KvI6FAyw,na1,CHALLENGER
zilAJWUq6fnTSB0WMsQ9j60F4F0ERO_NFGqdT7tRVFxkGhZjZspXOn0JGJ-l1moXzHvsutpzK43piw,eun1,CHALLENGER
6JapMcckbREMNQhCf8EdASW46QDrHaw9546EvplhR8veYnAByJyZJCnWNFZyTxzHoBGH3hx0_b6Amg,eun1,CHALLENGER
kE5VjpNHq9MIpzXczyw8m8iO2TCQC3AllJh5-foVahg2txwjd2rAlWsy_lsEJygTQYq4PamwpHkhfg,eun1,CHALLENGER
cgYNRXzKfDplPslFQeEV0ZgOiiN471TiJpyNj192y8xoDacozR_e97aVymatzDK_8OG1gYpha_78Tw,eun1,CHALLENGER
KyE-riEtcqDn4GDZnpl7FwmYESN5HgdDIgPfw1uIYy83uawtq8i0dL7izeSQ9pHb9ylOFUyjqqm0UA,eun1,CHALLENGER
ykOfdSRBkSSHC2mqerOmOPCfNwR6c7ACbbS6nAYhvmrVtNZ1y2-J6O3W7vWXcS6wCxfTaGODhR0WSA,eun1,CHALLENGER
qP2Eloa2i5jSCdYYQNNh1AFassvu6pbo7HdeImel8CFMN1p0dQbSf8bqvsDwcyQutUCLzNU85af0lQ,eun1,CHALLENGER
7hj1Llz6S79GgrdFFthuqvbl3ORosrjdd0cyFtVMTD7UrHDqZch9Jv9kRTkQdwCePWgMNgprY0-jZA,eun1,CHALLENGER
ow2d4NpbJGtta4JYh25UYevz4v6iT4a1cDFguxdQE0By6do53DqzOlrFJwB_BomoFI8urtHU3JSRUw,eun1,CHALLENGER
SCulC1yF60vif0hybpFZQ2U3-QxsRx6d0wmNn0aJk09CjrUuXftgLqdpMjgrr8RAYjnrqrNfOeEcHA,eun1,CHALLENGER
aP8vA8xLmeatr0U02JkKSVM4vWxEdlh8DfeuHLDiiv2y8N60NXzufTMfB6D_RUZ1OKzI14DxtgWJsA,eun1,CHALLENGER
wogjISe_Zi5purs9e5RRX6gL2o0qPvVI69_UyQcx7pgdEFHDt_hORTjUCkYqoKBxyXPc89jpHkCC8A,eun1,CHALLENGER
