puuid,match_id,role,champion
F77cxzk_zBZefmsFG-XopOhlcobFU0xIgTLxTYbwJ4TYAbN1SPtArNHsulV-4j0wkGWZa8fmPDpDCw,EUW1_7682224814,TOP,Fiora
Elayv1cr5-cfcVkACT6tZmuDloCiNJJ1TVXxBIr6rUE0w75WAbm9cbxc0Wkkk0aG2NmKdo8G_oPBzw,EUW1_7682224814,JUNGLE,Graves
3MuZ03offdBavQ8mRk4iAeQeDC1s25d-2cbcIQ5ceZ4vFNkfiwolOzkJggzdXwwdOenP4YX0VUTnZg,EUW1_7682224814,MIDDLE,Azir
HmSVRNlLrEwGC9ujRkJcGyskPkBqx6ahqogJbIIvZd7ZETBiq1e2Tf0tuRbQzzVYcGCj5ucV9_W4Gg,EUW1_7682224814,BOTTOM,Ezreal
GKYhuj2C0zbsQcEpEhlw9d5kBGcPo0U5O2TL4-Atvvt13Exth4M1alRkkbCO6WypX5tedNgV-_g8hg,EUW1_7682224814,UTILITY,Rell
C6Rjyyv6lktD2E0cdy_ZxFPhDSPpKYsv2aPi8PtMJE1YrUo7GKkPDWtTmGkMO8PR7mJCGqvPb-j06Q,EUW1_7682224814,TOP,Urgot
006uLJxQViGiZOxzBoCNE9yUFUe16cIPkBKEJxx4H5XAqcNNWxURDGHRteheFVw-jjy9QZpz3rMzmg,EUW1_7682224814,JUNGLE,Talon
K9KrGLQLRZ2dLBIPXR8TbCA6nOgP_zJP5FxSsldwaUfn4gpBjq1DiiOr84ZuwghKbWlqVoHEu1gEJw,EUW1_7682224814,MIDDLE,Ryze
htmbXflGkxFYQUFwH6pW9ONjuVf496HH1G_R4PqpdN6hEBk9ilq0Hyu87SkBPLz5-WakWpd2qQeNAw,EUW1_7682224814,BOTTOM,Kalista
g8ErACfo8F_O3hP2UGyPEEWLk8IFMb3XHPHjXUglJLOEts69G5tO5bCobnxroCXQP843s3rUX7Kgbg,EUW1_7682224814,UTILITY,Alistar
zFfj8FEAVSMKAtyDBZ3sWpnyM6b59RWQzm_9oRxcpOwcfEynvhYDr0sOBroOmRrnNdH_BWj4lEwKhA,NA1_5462798334,TOP,Fiora
K4s0scmQ7l81oI4PKORWFagzJeHSFXC-SOPGMUugFLerBC56mYxuxK_r-BWqr1ZiLKmVdvmLtWsUxg,NA1_5462798334,JUNGLE,Hecarim
ToJut8fpZkWglVvZKO7kYoquwJFgWRQzFcmDBhv2bGbcXosBe2SKeea2QmCJ32c1Lp8gip5nOEuAaw,NA1_5462798334,MIDDLE,TwistedFate
1SyDyNNtqZf-MzrRVflWmvvhBE9rSc3BwFI6u83gN14DDAGoTjCs0C4eCsQ9Y_KwutHK0p7TRfAFLA,NA1_5462798334,BOTTOM,Ezreal
0_7uLp1hdGnem6_BPUe0OUI2Y89PWz63qasZLKu5haPUBF59q9vmAwiyjU0q0Zuu5ZR97X-9UCYkLw,NA1_5462798334,UTILITY,Pantheon
IefQCPShuON8Bm2y4mvRmzXMFpjvaCuHGj3_X7WM4au170_J4yAkzIZXfgfWzH5HpNv47WUx-oLJxA,NA1_5462798334,TOP,Tryndamere
eZEKdw60wj_OcUQtFgEWeIxFJvOELZKNBamC-4xTUwkpsqjsN2MPvCxtu2ZgC0DaOAbJF1dfMfB57Q,NA1_5462798334,JUNGLE,Khazix
ELXb8HFTaALkDm6qg3rdIY_nKxt_srouTaSjtxxpHZ7JTo4WC8KheKD_5-Bgej5GCVT1wHjwJ1bOOg,NA1_5462798334,MIDDLE,Akali
w9IlioW9yBdU7Iy-K94veY46y2fmlutwZDESDshwmHqhhFfZr1WNGtjXTBmPUL0Xdwa-nl303dGlhg,NA1_5462798334,BOTTOM,Lucian
bby-nCl7z2mkHtwn1n_ri7dsdHYCR9Y4rI39npfBR4ze1qlWlDWx3bWge21QbCurodxvaQ_D1asV5g,NA1_5462798334,UTILITY,Nami
HuhVRFS4be4ALCo_yWVskx3R_Qr7xUCgi62fgE7UMPMKhsmsS4VPUS2PHE-Y16GAC19XVNvZnxjW2g,KR_8027863831,TOP,TahmKench
T7NvZTysgP4giuhp4foKzPCyGK9IgU_gDpzq88L4TJzzzUHuhcmM_wQZA6H0pkrHXc9Q26PjixrB5g,KR_8027863831,JUNGLE,Diana
YE6VL6VMtEwVIvvdVzkxgLp38I-hHTdhrlsviIDLEgd1NXOh8e3dpZCyKZLzqdBa67-UiXz41MsaGQ,KR_8027863831,MIDDLE,Akshan
qawOI5x8Q_DEwQoiVr4bjgBLgi7Oab8WCK8r8F6leQe7Ucl4CYVee5Hl9_EgCSjI7WHQnKDKlH6oSQ,KR_8027863831,BOTTOM,Kaisa
u_WJA_fuRLRzW_lDtvo2HZttbEZ-opfYn6TtLQ_QaIf7A5kyGqQxsEZ_-MJZT-kYdOpz2_A75wYcVQ,KR_8027863831,UTILITY,Pyke
4HT9yES9PsN7N3jallG8HrvuwLraWkssAUjj0453UdLTOXn4_mqFovdArUMhu-gmcigTsBDkNLNqjA,KR_8027863831,TOP,Aatrox
