puuid,match_id,team,positions
F77cxzk_zBZefmsFG-XopOhlcobFU0xIgTLxTYbwJ4TYAbN1SPtArNHsulV-4j0wkGWZa8fmPDpDCw,EUW1_7682224814,0.0,"[(603, 611), (2311, 13546), (820, 3029), (2016, 11898), (3527, 13350), (1846, 12304), (2578, 11697), (1265, 6752), (1798, 11099), (553, 1207), (1850, 11357), (953, 4144), (5620, 13161), (6265, 13208), (1028, 5394), (6686, 13453), (3554, 9592), (5578, 12962), (612, 1825), (13355, 3873), (13629, 9381), (2090, 777), (13600, 8131), (12829, 10982)]"
Elayv1cr5-cfcVkACT6tZmuDloCiNJJ1TVXxBIr6rUE0w75WAbm9cbxc0Wkkk0aG2NmKdo8G_oPBzw,EUW1_7682224814,0.0,"[(662, 285), (7343, 3162), (5032, 5734), (3185, 11711), (5490, 14058), (7661, 5215), (8806, 5638), (3859, 6326), (8689, 5060), (3480, 9500), (7313, 5201), (13361, 2642), (3687, 6428), (6866, 13548), (8412, 5773), (3301, 7127), (4120, 7473), (12439, 7409), (12950, 5963), (7369, 7384), (10681, 4954), (5326, 10686), (9055, 8221), (12246, 11111)]"
3MuZ03offdBavQ8mRk4iAeQeDC1s25d-2cbcIQ5ceZ4vFNkfiwolOzkJggzdXwwdOenP4YX0VUTnZg,EUW1_7682224814,0.0,"[(362, 135), (7057, 7571), (6982, 7594), (7952, 7621), (6951, 7970), (6883, 7492), (4020, 4276), (6797, 7510), (6590, 7281), (5895, 6268), (7451, 6949), (5004, 4997), (7859, 8026), (8427, 8006), (6661, 7370), (13411, 2507), (10699, 1349), (13543, 6662), (1700, 6316), (7758, 13441), (9446, 9484), (4990, 10701), (9783, 9713), (13089, 11135)]"
HmSVRNlLrEwGC9ujRkJcGyskPkBqx6ahqogJbIIvZd7ZETBiq1e2Tf0tuRbQzzVYcGCj5ucV9_W4Gg,EUW1_7682224814,0.0,"[(130, 401), (12338, 3074), (12732, 3155), (12042, 2582), (12279, 4552), (12199, 2322), (7985, 1438), (11929, 1992), (12480, 2417), (11094, 1848), (12291, 2066), (13541, 2818), (11595, 1405), (11790, 1293), (13532, 3261), (12637, 2764), (5161, 7706), (9367, 8327), (12420, 5310), (7482, 7997), (10187, 6640), (4672, 9966), (10367, 10170), (12921, 10991)]"
GKYhuj2C0zbsQcEpEhlw9d5kBGcPo0U5O2TL4-Atvvt13Exth4M1alRkkbCO6WypX5tedNgV-_g8hg,EUW1_7682224814,0.0,"[(298, 675), (12407, 2682), (13425, 3429), (12436, 2612), (12920, 4107), (12700, 2122), (3400, 7086), (3499, 850), (12543, 2827), (7935, 4792), (12997, 2157), (492, 549), (7188, 2533), (12053, 1787), (9867, 845), (11729, 3937), (4734, 8294), (12730, 7342), (6224, 4318), (8825, 11402), (10812, 5188), (5125, 10201), (9914, 10430), (12771, 11433)]"
C6Rjyyv6lktD2E0cdy_ZxFPhDSPpKYsv2aPi8PtMJE1YrUo7GKkPDWtTmGkMO8PR7mJCGqvPb-j06Q,EUW1_7682224814,1.0,"[(14103, 14195), (2542, 13669), (5707, 13551), (3594, 13703), (6026, 13790), (9341, 13914), (3047, 12360), (3136, 13512), (3052, 12024), (2788, 13170), (2325, 11618), (9917, 14018), (4905, 13188), (4259, 13671), (1804, 11908), (7085, 13239), (4922, 9000), (13666, 8467), (12236, 9177), (10136, 10900), (13335, 10063), (10629, 1344), (14023, 9076), (14023, 9076)]"
006uLJxQViGiZOxzBoCNE9yUFUe16cIPkBKEJxx4H5XAqcNNWxURDGHRteheFVw-jjy9QZpz3rMzmg,EUW1_7682224814,1.0,"[(14426, 14170), (7963, 10313), (7852, 9550), (10255, 5415), (6074, 12756), (12445, 6534), (2645, 8327), (12562, 13924), (8298, 7111), (9986, 4531), (3130, 11436), (11046, 8437), (12203, 6575), (6874, 13169), (9812, 5298), (11077, 1915), (4855, 9648), (13993, 7149), (5715, 6103), (7707, 3891), (10182, 4975), (4391, 8633), (10955, 11131), (13873, 12732)]"
K9KrGLQLRZ2dLBIPXR8TbCA6nOgP_zJP5FxSsldwaUfn4gpBjq1DiiOr84ZuwghKbWlqVoHEu1gEJw,EUW1_7682224814,1.0,"[(14321, 14673), (7902, 8016), (7803, 7831), (8360, 8897), (7565, 8422), (7985, 7210), (7304, 7968), (7861, 7652), (7241, 7535), (8117, 6515), (7706, 7576), (7804, 8004), (8938, 8180), (8136, 8484), (7315, 7712), (9919, 9522), (4342, 9686), (7020, 14033), (1250, 12207), (9438, 13528), (8959, 9460), (6120, 10855), (10194, 11992), (13945, 12788)]"
htmbXflGkxFYQUFwH6pW9ONjuVf496HH1G_R4PqpdN6hEBk9ilq0Hyu87SkBPLz5-WakWpd2qQeNAw,EUW1_7682224814,1.0,"[(14589, 14454), (13222, 3500), (13277, 4096), (13128, 3255), (14340, 14391), (13048, 2839), (13185, 3372), (12411, 2911), (13485, 4187), (12784, 3025), (12865, 2894), (14142, 4530), (12730, 2258), (12186, 1210), (12298, 1864), (13186, 1994), (11752, 2505), (9488, 9572), (13478, 8254), (11594, 1004), (8558, 8834), (2462, 6159), (9589, 11643), (14340, 14390)]"
g8ErACfo8F_O3hP2UGyPEEWLk8IFMb3XHPHjXUglJLOEts69G5tO5bCobnxroCXQP843s3rUX7Kgbg,EUW1_7682224814,1.0,"[(14055, 14493), (13430, 3932), (13865, 3828), (13433, 2554), (12429, 5403), (13509, 2364), (6952, 9458), (13352, 7366), (13846, 5174), (8055, 4935), (13509, 2956), (12199, 4948), (11042, 3383), (12244, 1920), (8582, 6162), (13225, 2546), (4849, 8422), (13126, 8931), (12046, 8671), (8985, 11023), (9892, 9876), (6259, 10191), (10314, 12050), (13905, 13231)]"
zFfj8FEAVSMKAtyDBZ3sWpnyM6b59RWQzm_9oRxcpOwcfEynvhYDr0sOBroOmRrnNdH_BWj4lEwKhA,NA1_5462798334,0.0,"[(603, 611), (1657, 11252), (1738, 12020), (2688, 13281), (2701, 13294), (1684, 13060), (2756, 12587), (2202, 11839), (2000, 11917), (2593, 11761), (3964, 13845), (2312, 12396), (2747, 13067), (2786, 13770), (2814, 12567), (1665, 11185), (1048, 9669), (1580, 10693), (8219, 13391), (4503, 1025), (11780, 6653), (11893, 2197), (13273, 9835), (13474, 6158), (12008, 2310), (553, 1222), (7899, 8460), (5000, 9996), (3237, 7061), (9251, 1614), (4200, 13558), (3981, 13422)]"
K4s0scmQ7l81oI4PKORWFagzJeHSFXC-SOPGMUugFLerBC56mYxuxK_r-BWqr1ZiLKmVdvmLtWsUxg,NA1_5462798334,0.0,"[(662, 285), (3170, 7986), (5147, 5692), (9711, 5438), (2675, 4841), (6862, 4580), (11222, 4748), (3392, 8190), (7158, 4847), (2801, 6735), (2601, 8188), (5978, 8172), (8350, 6653), (10630, 3113), (6461, 4851), (4704, 9111), (1655, 10415), (3704, 6475), (12895, 2951), (2683, 4532), (12045, 7653), (9081, 2192), (2835, 7900), (13022, 5785), (12286, 2415), (3250, 8724), (7805, 8034), (3300, 7800), (1892, 4427), (7790, 3819), (3830, 4479), (2484, 1460)]"
