puuid,region,rank
sFyR0SQ2UcMPE2twgo2tWgygIhAXpJdzQO4nvzA9Ub1m3KinsJAt3CE9KWu_pUN7E-YTzGnvwF49HQ,eun1,SILVER
uoucgETtm4RQoDXXylymQWzvWSzAeL_JjsPYRmSY3O-Sd-qA2ja2VM46Mm3TXG4WZc3uIpC7cJ0M8g,euw1,SILVER
K86E_v9ohso85Xs_s6bTYNn793K5-bQ9JnTDhw33Ez1Wsne0uV33xOmx6uTffGvUEvlTF0xU6qWHGA,euw1,SILVER
1wqG0hcDAdZq5S8MGt2za4pKfzUNmaYiGfTe6z68u73GOnVh5Qbzhq3uMZ5eHdhXOk1P500Il6Ixig,euw1,SILVER
3WbcVoXNuYC5AO3PFzQ-T9PQGCCXfB9wGs8sYzR6e5IzgWpb3JlpSoAOSian3MrH5qvze7ZrSJQS2g,euw1,SILVER
d2Qa3UjI1OwdMPJC56rCmKz4KHuUM3GueY7scThDaO2qJ2KcFkh-3xjf-Y2WbYD12QKfQQ2Wa0woJw,euw1,SILVER
ZHCR4--KlwRTRxTkwImNYgGbljnTpqUOiepqJj9Cs7WlhcHEmbZInGSQvPwf-pgHLTdFe9DQrk1vnA,euw1,SILVER
S6yv-glS2bHPpGfkIxRmiG467TWCXGQ7FeECDKry-rY3TCIZ1DsMRbhrr_QZ4v7MOF7M0XiLbKnQCw,euw1,SILVER
qfrdoOWrO-2H1Ig6TV01DBJKqNMom9BDPf0BeIJudcJSLUU-tud2Tw8GSLSWvmw9xMWKjDSyX3af5w,euw1,SILVER
lFn6GHSFSA-TU3goiP_PhYkVB5Q6XXRtjV-CBHoeknBmZmwx4RgvEPpMp_NXOD5b-CaUzlKlr5XYOg,euw1,SILVER
Xm0iGPiv-RW4EcvsbRCOCOwM6Q-sK5vBhcaVqkEHX_FU4ui5kuYU5gK806XtTwj9mwZUAYkckT-hMg,euw1,SILVER
wmRqmFvLKkd5tBk6-5ukb2-cqfXcbrM1fT_SYzFYSagAQyqjw-VBsH4TCUFutRr5FQDmgz-tPlvolw,euw1,SILVER
hEjzcl-Jo8jOLhIpucdmFEO_vdH96_9cv9iBW2GBkDoOuHRbkgkV4FW9EzxufdGpWxwOhXk9-af2Rw,euw1,SILVER
B1bypcnjetPIpZ5f--skM3n4XwhPPU17hyw__OgVGsv4U0Mt-9abJ9LOKuS9a6HXQxos6bmosgO_eQ,euw1,SILVER
hqbL4RPU87UFOnGQ67eQsnjTqBWW4KPgv7l6onysNIz3XQIljoc6ps165HvWl-UY5V9GDt9R6fYQJg,euw1,SILVER
r8y0UtngWhliSPDdCqhnGloSCW8NMw67cujCO9UgocyNfiG5vKxZSPLStgtWkIndQ4pdE4CzlAOIhw,euw1,SILVER
Lc9JdE3j8lxovFi0dvo6akxdsofMqJ9BlebxzME1ka7Z-HpLdimBQgl2KtBz7tfu19wTBesSPYnc-w,euw1,SILVER
BGuCBaCrnPS-a_iltLqA3LAPE_q0PP3fN0zbGrrdHjc5prQO792WsdxOvUaGlPVCDRnovjfIehLeAw,euw1,SILVER
31g13mN3uvD-MHae78oMy2lh7B7hSDhXm2oske7xkcHkiAdFo7mwqSFq4KtwN0LPJkZ-qSzT7Wwfcw,euw1,SILVER
bYKc5eKeIDdLY697HjItHMJpI5iXWHi4Zq1alFbl0LI2aRjxh8F9Oy4zFn7eQ90PO_UV2HSc4EVzjg,euw1,SILVER
YstAOYmhptAHGolT-OmlsvJ8WUWBuvk0bgMttFBNFMlR3v1n5DratO5dX7MWkoISDFZSCPFi1FkEWA,euw1,SILVER
