puuid,match_id,role,champion
yVLgpmFydr5wI1npWSipq2FAXX-5Z2nY8MHNnyvbYF2Bfeu1NuxmmgkJb23SpghGXo3EUfXjRP7uFg,EUW1_7693895387,TOP,Akali
EuABY9-PHH2MssnUiVeAldxAcDA7lT8aDcHQ0NLxyUC8GpYkFnvr1kShBvFGKV6xsEWIasqz9XCSEg,EUW1_7693895387,JUNGLE,Rengar
pfJPencANLopgYvvLFRPAJE8axYt7UxHMEvquVmTYL-DvZv_YfaTYj_fgwB4RbPI0LpMof0iMerqQg,EUW1_7693895387,MIDDLE,Syndra
HJjROk8_joCwHChiSr1Zw6hhWkGQ2X5vGbzatxHycgIHo_UVk0uqYFNKNvpCDUlJ6ORWc36B5RDQbg,EUW1_7693895387,BOTTOM,Kaisa
LnIYS354--C_NgyzhJZcF_1_pMU1ALCBw2E1GCGXvdvt3lb74bzD7F2HDZF_uPDsAkW6-H0PnGGlLA,EUW1_7693895387,UTILITY,Lux
8a5HTuAUuAWm3PNdhrX-jnH3pRi8XIqhJVvpjbo75mTvH85YHhpyCEBx8pQSD0ouN6Z_XcMcG-jmMQ,EUW1_7693895387,TOP,Vladimir
zCJnMudUTVZdnx56XWnrle4WZPmgRW6dwbmXXm9yID86wIpQM7FoFUBsxHGsI5X3PIBLuZL5yrmZGA,EUW1_7693895387,JUNGLE,MonkeyKing
xUS-mjKlNx9h5IvHntSd_AoMHNbVOIeReAeT_CKcTyw90_zeB1DqKz-umLv8WFPRa4w1-a6jt5frjg,EUW1_7693895387,MIDDLE,Akshan
XS5U-hwfV4TcO-GY-lXmtXu2pPbhkLVyLEmH0B8IWye7vlKlF9nCim-BQBvV1yS2MiBQKyYUGYgc4A,EUW1_7693895387,BOTTOM,Varus
jfVAf5UafiqIJ3vtgSd-3y2lbng4RLZkYzm1aQ1IOl2HDx4dmi7ktm3LKAAGpKdeTTHIbVA76x9WIg,EUW1_7693895387,UTILITY,Yuumi
gUL2Vsta7ynuXKY-W0aXQ9ximqMT2N3PxDgA3JYEiOiYJChW7oubSZjKCvZu0p6YLi9qfW6nFus7Vw,EUN1_3896540291,TOP,Sejuani
fJ5CpnnmBD4F1Vm_awdvPecprPUdP3XE6Qb9d2iRBPuGerhXuLwGdrzIds9tSfkYOHgfmYB51AC_NA,EUN1_3896540291,JUNGLE,Ekko
6n-7BZPSytn-DW41xC0K5G6zYiDjEpKQ51yeQlWG5odUz2R7dDK49-JaiYg3dqi8LWRoTSw7tnOplA,EUN1_3896540291,MIDDLE,Zed
dd9PouVyXjS_kN6j-rzK5koOgpsUb-AF3xpV6dAMOKjuJyd_xc0S_nujHvZvSPZWoRur3QSN0FXkYw,EUN1_3896540291,BOTTOM,MissFortune
tGxdCBx3UkHeuvA7SS8IKGnIIAqAxo7txqS-JzVK4dFjgEINW9cnDTj0UwnrXM8_JtQl1DXht0i-Jg,EUN1_3896540291,UTILITY,Nautilus
yHfNrBQDRaW9TPGc-VBHTNR7Swo1MriKxeWtwbtIARsQ-BQ4gZtUoMnUWjdkKG-TczrZtMMOob9tQw,EUN1_3896540291,TOP,Yorick
j_yl0VBP_-_Jvuukj1VYKzVR_Y0261eWcM6dB47YwYj3JutDfiOH3oo-OzyXLcC1CKVS7tsCgHNypA,EUN1_3896540291,JUNGLE,Evelynn
oSk37WtjGiyqF9Puz1mES3c_ztJ2MiZrbOs5PnbGkpj35IDq4xMMtAnZnijwUxA3CklBzaDFYNCzSw,EUN1_3896540291,MIDDLE,Orianna
5ReKMZqZ48b2p9-fMNUBTTibQmpCndRITqmH6ZZWTjzmWl4P2NuLKsJ3X8_zcPlx2_nQkFmWgYhLhg,EUN1_3896540291,BOTTOM,Jinx
6j6Lhdi4UoBCfc2wcEV6orNmBSlbXbS_VbdHxmKS-IJgWPlSRnPEpfS6CaRDDAw0h4bBO42oPPpOxA,EUN1_3896540291,UTILITY,Alistar
vSAOZgMStM-gKxOKJIIRtBDOCqSG6uGWUjL6XwI1IMWm_eCvxyBv73OqCUTnGnDowBGF56KrUCFm-g,EUN1_3899199742,TOP,Sett
HlCePlfqLgLwl99ZfnaoAwudnLibLi1UoC8-3Bqm3hGC3ZGYq8igIWqcDjI1SlcyZ5KL8TBXIGDA8w,EUN1_3899199742,JUNGLE,Viego
