puuid,match_id,role,champion
mRayACBjqFMoc9qbTzkoWXEkFGTUVlrPqMDG5Cxj-3UnZGCeGR_qHEJAR4WqI0syQA7pe1m2V6-NRg,EUW1_7702130155,TOP,Mordekaiser
NSy3Xr1cG0A9VcNO35DRZzw2_Gj0Z2D5Q0YUAwKdxZh5kQr0xVmC3NI1v_HJr6ZrG202vnV736WxJA,EUW1_7702130155,JUNGLE,XinZhao
ocs89R3e1qM7V9i9o3zy4Qze1AU_4mcT99DESHFrYK4oAnbxODH0LYZHoXrmIG2_lO9UGPapoAf7SQ,EUW1_7702130155,MIDDLE,Akshan
sXRwXBIsLAFycJwA24_M3kbS8lPuxeNbQI9o2jPaYUADJIbBb_wX9YsZEbIo2EDF6olobBmn7JKwXw,EUW1_7702130155,BOTTOM,Nilah
WlsMqyxH8gxZJrDMsKuJnPQ4wHw_grzdPxO3TN_E7S-VD2kIsMJNafzEz50ap2pLTmorbqc5W-1AzA,EUW1_7702130155,UTILITY,Swain
IpMRXhqbJpIg_qewC1wPMKvd9-Ug8rYGOZ1BzDuRsDAqaskYIcI3ye2gEqTfCw5VWQhvVmEIIasMxw,EUW1_7702130155,TOP,Nasus
ZZRJH5007YFVqZXsE55h-pKbT6EdWXiT3xug29DvY4zy_3dZBbJBJAO9jAyvsHj86ntI1xxD8wcRbw,EUW1_7702130155,JUNGLE,Belveth
zfm-xe-J2-UFOC8K90569IU285tE9ZZlpMH3ymJyUx2GhqAvdlXIIIhpYjg1kUImIvY7jTH8Uifybg,EUW1_7702130155,MIDDLE,Ryze
DERDjNmyit4wrx_2Zeeqi6AAWpygQY-qOzLcqy1HaEbP5nYt1B3gTuWbgz2CG0vf2SwGOA1kf5LeZw,EUW1_7702130155,BOTTOM,Jinx
fV4jjXVETwqgInLK4nQ7E7vE41LAHICo4eObaOTunLvwI2JefFZfugnIUXp5av0ZUfj9SPxLuIBi7Q,EUW1_7702130155,UTILITY,Hwei
btZKBeQ1S64JfmC5nRin_yhn63J1qSwsuCfwKh-yqdvK0XExd2UOrAXBDV4nB6vCnIeIU_KgWaJb4g,EUW1_7700878857,TOP,Malphite
hWtJ1lsM3T3JZKZIOz36FOkClK1x9vZ3pMmr6L7XsEIupGmG2z3Wm5J8xRheEarhFyOVASAkHFXTHg,EUW1_7700878857,JUNGLE,Twitch
JLjEhxuW_pOeUprwsxW9t9TuuF1IYCfdHVEMlb9l3lUfPreT7qP0KWFCUMR6SlTenDiDxIYTt5cBPg,EUW1_7700878857,MIDDLE,Annie
ppPdd3Xb1vTP_fQRBpzMgJDF_k_bYsjVLs461W89rChd9YMMVVkCIi6-KdSqLPFmloomR7rMkpmVkA,EUW1_7700878857,BOTTOM,Jinx
z2Y15SKvQ_TSbb83b3kpczOKD9yzogvDx8rdZ6LnLKgQJIvZc6wr7coatJqm8S2Wk6ok3cOBkrxGFg,EUW1_7700878857,UTILITY,Lux
OM8SYQ-2W0_ogqKesVlXh35XxZbJPopbs-hmJ61g94M_3GTTyj9g1C0si1wFzxtJiEzMSAze_1WhGw,EUW1_7700878857,TOP,Sylas
bc1ZhpHQ62sl_YdUFCWEdNNips3d-RsdHIHSjwzIwJ8k6gUJEqsKj-cGsEpjgDfTgJgQAAViUfCBqA,EUW1_7700878857,JUNGLE,Viego
E5ky0ZhnescrBgPu43-FcURmEF7ttBWikM07xIWTu4NuRIFRhSe4_fkdlOvqtn--GqvQzLGnSGXQPQ,EUW1_7700878857,MIDDLE,Yasuo
JYCLBgAai4dMMXB7pNsa7_CRGY3IO1S3nRJazDdLm3Ct5ITeTq2DJYWO4Dp_g7accjxb-IqYdP5nWg,EUW1_7700878857,BOTTOM,Samira
Ebp_M9twPfVblxPMpWCvMxaqpXzsqM8_7xokXO6dPnNaPGsrUPZkofSzRYu5sKdGtctXm0zLXoTahQ,EUW1_7700878857,UTILITY,Seraphine
exdhDzlDwUbqeBTtpujZamtzQOVtKz3tQKG4JmoO8Gk3_G45ax7szEP7jP1JhWmgdGOl-1Vb0y1EPA,EUN1_3897258770,TOP,Chogath
JG8Y1qeEz1ANvfiC8O-jWfCa0_hh0_4bGVkVVJ7JkflUPXMcoQRV809Ox8W-aWdU6HrSAnTLB5EFpg,EUN1_3897258770,JUNGLE,Fizz
ToSTnLMaLe4oyU7Ie8GIfF47hdv5WhcWnsx_8h_NG-A_xPqv9f-UOaHeeMKXvDMb9Z5JrExDY1YmjA,EUN1_3897258770,MIDDLE,Sylas
8Jw-Yo52ko_Yr95qzAGm_rGRYcMVBS0127XhdSuwllV2iqgezky3YXXaYDEMOwuh_E5p6Owg9x3Z-A,EUN1_3897258770,BOTTOM,MissFortune
LBGo1yys1j_LYNpvInvBLuvSS5GlCFN2FQK-QF-jVRNQjrmzZldDAZsGpqz9i1pJl9BAKci3hB6FBg,EUN1_3897258770,UTILITY,Lux
EMXNrcneN9zEZlarThVyIX6GBsdVe76qXXSxrygcsNRjvAGDTmgoN56tUpOZbiAno0hqqMlYg0SiRA,EUN1_3897258770,TOP,Varus
RM6t2xpNjVJwiIc2oPwhd9fby1cdNPAOP8KI6Xr4OEqtvLekI9C3pp0exP8K1KYGq1vwr4b8-n1fVg,EUN1_3897258770,JUNGLE,JarvanIV
e41f1sh1TFizuevnn5rtjhOkstNOVpf5G5ahYEfgtvJApyFkdknIbtmlkHrg3Vo2GlwsXpF71DydZA,EUN1_3897258770,MIDDLE,Yone
8JBNaYunIkTdmAEATopW5t2arrD6RPESBPuyuPvZjdHG2fb8DFSUbJuwySnFyAqg7fJnZ_zwx7PV7g,EUN1_3897258770,BOTTOM,Ezreal
tEgNsgJE14r7oFheFPErAlJIg3_swV6NZIwgUtRYbOO79oDLwNQQ9VB945r_hj_SMqqrUEJKX-x-_w,EUN1_3897258770,UTILITY,Seraphine
_1Zs123hh7aZ3Mxt0zpk18hBkd72CmL96pLG4dpUmucpASMxxDTS1eMBCdz65YyZu_0Nj31oSqb_1g,EUW1_7689580729,TOP,Urgot
